adm_code,municipality,sector,activity,organisation,status,startdate,enddate,moreinfo,quantity
SY0307,Az Zabdani,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,22500
SY0302,Duma,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,600
SY0302,Duma,WASH/WATSAN,Distribution,Australian Red Cross,Completed,2015,2015,Hygiene kits,600
SY0308,Qatana,Protection,Distribution,Swedish Red Cross,Completed,2015,2015,Dignity Kits/Women's Emergency kits,108
SY0308,Qatana,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,6000
SY0308,Qatana,Shelter/Settlement/NFI,Distribution,ECHO,Completed,2015,2015,Kitchen sets,450
SY0308,Qatana,Protection,Distribution,Swedish Red Cross,Completed,2015,2015,Dignity Kits/Women's Emergency kits,1053
SY0308,Qatana,Protection,Distribution,Swedish Red Cross,Completed,2015,2015,Dignity Kits/Women's Emergency kits,97
SY0301,Rural Damascus,Food Security/Nutrition/Livelihood,Distribution,British Red Cross,Completed,2015,2015,Food parcels,3000
SY0301,Rural Damascus,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,19400
SY0301,Rural Damascus,WASH/WATSAN,Distribution,Swedish Red Cross,Completed,2015,2015,Hygiene kits,300
SY0301,Rural Damascus,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,4000
SY0301,Rural Damascus,Shelter/Settlement/NFI,Distribution,ECHO,Completed,2015,2015,Kitchen sets,500
SY0301,Rural Damascus,Health,Mobile health unit,Swedish Red Cross,Completed,2015,2015,Mobile Health Units (specify in comments),3
SY0100,Damascus,Health,Mobile health unit,Swedish Red Cross,Completed,2015,2015,Mobile Health Units (specify in comments),1
SY0401,Homs,Health,Mobile health unit,Swedish Red Cross,Completed,2015,2015,Mobile Health Units (specify in comments),1
SY0902,Abu Kamal,Health,Mobile health unit,Swedish Red Cross,Completed,2015,2015,Mobile Health Units (specify in comments),1
SY1400,Quneitra,Health,Mobile health unit,Swedish Red Cross,Completed,2015,2015,Mobile Health Units (specify in comments),1
SY1000,Tartous,Health,Mobile health unit,Swedish Red Cross,Completed,2015,2015,Mobile Health Units (specify in comments),1
SY0802,Quamishli,Health,Primary health clinics,Swedish Red Cross,Completed,2015,2015,Primary Health/Clinics,1
SY0800,Al-Hasakeh,Health,Primary health clinics,Swedish Red Cross,Completed,2015,2015,Primary Health/Clinics,1
SY0304,At Tall,Health,Primary health clinics,Swedish Red Cross,Completed,2015,2015,Primary Health/Clinics,1
SY0301,Rural Damascus,Health,Primary health clinics,Swedish Red Cross,Completed,2015,2015,Primary Health/Clinics,1
SY0100,Damascus,Health,Primary health clinics,Swedish Red Cross,Completed,2015,2015,Primary Health/Clinics,1
SY0100,Damascus,Health,Primary health clinics,Swedish Red Cross,Completed,2015,2015,Primary Health/Clinics,1
SY0401,Homs,Health,Primary health clinics,Swedish Red Cross,Completed,2015,2015,Primary Health/Clinics,1
SY0405,Tadmor,Health,Primary health clinics,Swedish Red Cross,Completed,2015,2015,Primary Health/Clinics,1
SY0901,Deir-ez-Zor,Health,Primary health clinics,Swedish Red Cross,Completed,2015,2015,Primary Health/Clinics,1
SY0902,Abu Kamal,Health,Primary health clinics,Swedish Red Cross,Completed,2015,2015,Primary Health/Clinics,1
SY0404,Ar Rastan,Health,Primary health clinics,Swedish Red Cross,Completed,2015,2015,Primary Health/Clinics,1
SY0404,Ar Rastan,Health,Primary health clinics,Swedish Red Cross,Completed,2015,2015,Primary Health/Clinics,1
SY0902,Abu Kamal,Health,Primary health clinics,ECHO,Completed,2015,2015,Primary Health/Health Points,1
SY0302,Duma,Health,Primary health clinics,ECHO,Completed,2015,2015,Primary Health/Health Points,1
SY0302,Duma,Health,Primary health clinics,ECHO,Completed,2015,2015,Primary Health/Health Points,1
SY0301,Rural Damascus,Health,Primary health clinics,ECHO,Completed,2015,2015,Primary Health/Health Points,1
SY0200,Jebel Saman,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,3478
SY0200,Jebel Saman,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,5000
SY0200,Jebel Saman,Food Security/Nutrition/Livelihood,Distribution,Swedish Red Cross,Completed,2015,2015,Food parcels,807
SY0200,Jebel Saman,Food Security/Nutrition/Livelihood,Distribution,Taiwan Red Cross,Completed,2015,2015,Food parcels,1183
SY0200,Jebel Saman,WASH/WATSAN,Distribution,OFDA,Completed,2015,2015,Hygiene kits,3608
SY0200,Jebel Saman,WASH/WATSAN,Distribution,Swedish Red Cross,Completed,2015,2015,Hygiene kits,23
SY0200,Jebel Saman,Shelter/Settlement/NFI,Distribution,Japanese Red Cross,Completed,2015,2015,Sleeping Mat(Plastic),1920
SY0200,Jebel Saman,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,825
SY0200,Jebel Saman,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,825
SY0100,Damascus,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,3662
SY0100,Damascus,WASH/WATSAN,Distribution,OFDA,Completed,2015,2015,Hygiene kits,2616
SY0100,Damascus,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Mattresses,772
SY0100,Damascus,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,1332
SY0100,Damascus,Shelter/Settlement/NFI,Distribution,Japanese Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,27
SY0406,Al Makhrim,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,5000
SY0406,Al Makhrim,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Mattresses,1000
SY0406,Al Makhrim,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,3000
SY0402,Al Quasir,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Mattresses,190
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,3000
SY0401,Homs,Shelter/Settlement/NFI,Distribution,Netherlands Red Cross,Completed,2015,2015,Mattresses,225
SY0401,Homs,Shelter/Settlement/NFI,Distribution,Swedish Red Cross,Completed,2015,2015,Mattresses,533
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,3000
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,9067
SY0401,Homs,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,2620
SY0401,Homs,WASH/WATSAN,Distribution,OFDA,Completed,2015,2015,Hygiene kits,11172
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Mattresses,11780
SY0401,Homs,Shelter/Settlement/NFI,Distribution,Japanese Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,448
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,2900
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,4000
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,1000
SY0401,Homs,Shelter/Settlement/NFI,Distribution,Japanese Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,500
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,1433
SY0401,Homs,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,364
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,6000
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Mattresses,6000
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,3000
SY0401,Homs,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Plastic),6000
SY0403,Tall Kalakh,Shelter/Settlement/NFI,Distribution,Japanese Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,1500
SY0403,Tall Kalakh,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,12
SY0306,An Nabk,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,1681
SY0308,Qatana,WASH/WATSAN,Distribution,OFDA,Completed,2015,2015,Hygiene kits,50
SY0308,Qatana,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,3840
SY0301,Rural Damascus,Food Security/Nutrition/Livelihood,Distribution,British Red Cross,Completed,2015,2015,Food parcels,3000
SY0301,Rural Damascus,Food Security/Nutrition/Livelihood,Distribution,Netherlands Red Cross,Completed,2015,2015,Food parcels,2000
SY0301,Rural Damascus,WASH/WATSAN,Distribution,OFDA,Completed,2015,2015,Hygiene kits,100
SY0305,Yabrud,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Blankets,3018
SY0305,Yabrud,Shelter/Settlement/NFI,Distribution,British Red Cross,Completed,2015,2015,Sleeping Mat(Moquette) ,765
,,Food Security/Nutrition/Livelihood,"contribution to ICRC Syria country appeal, EUR 150.000",Austrian Red Cross,Ongoing,01/01/2016,31/12/2016,,
,,Food Security/Nutrition/Livelihood,Food parcels,British Red Cross,Ongoing,01/04/2016,30/06/2016,,
,,Shelter/Settlement/NFI,Winterisation NFIs,British Red Cross,Ongoing,01/11/2015,31/03/2016,,
,,Shelter/Settlement/NFI,Winterisation NFIs,British Red Cross,Ongoing,01/11/2016,31/03/2017,,
,,Organisational Development,"Broad support (training in DM, health, IM, logistics; establishment of AtB; financial support to branches; volunteer support)",British Red Cross,Ongoing,01/06/2015,30/09/2016,,
,,Food Security/Nutrition/Livelihood,Livelihoods establishment (pilot projects),British Red Cross,Ongoing,01/05/2016,30/01/2017,,
,,Health,"Funding of 5 nutrition centres (staff, mobile teams and CMAM trainings) ",Canadian Red Cross,Ongoing,01/04/2015,31/12/2016,,
,,Organisational Development,Medical logistics support to SARC (implementation of recommendations from medlog assessment) ,Canadian Red Cross,Ongoing,01/04/2015,31/12/2016,,
,,Logistics,Funding of Medical Logistic officer position in Syria (6 months) ,Canadian Red Cross,Ongoing,14/02/2016,13/08/2016,,
,,Health,Provision of nutrition supplements ,Canadian Red Cross,Ongoing,01/04/2016,31/12/2016,,
,,Health,Provision of financial support to OBGYN treatment costs at Homs Hospital,Canadian Red Cross,Ongoing,01/04/2016,31/12/2016,,
,,Health,Provision of Medical Equipement,Canadian Red Cross,Ongoing,01/04/2016,31/12/2016,,
,,Health,Provision of medicines and medical supplies ,Canadian Red Cross,Ongoing,01/04/2016,31/12/2016,,
,,Health,Implementation of CBHFA and other health related trainings,Canadian Red Cross,Ongoing,01/04/2016,31/12/2016,,
,,Organisational Development,Funding of SARC  positions ,Canadian Red Cross,Ongoing,01/04/2016,31/12/2016,,
,,Health,Provision of financial support to ICRC health related activities ,Canadian Red Cross,Ongoing,01/04/2016,31/12/2016,,
,,Health,"Provision of emergency mental, primary health care and ambulance services for conflict affected people through 10 Emergency Health Points ",Danish Red Cross,Completed,01/04/2015,30/04/2016,,
,,Shelter/Settlement/NFI,"Provision of winterisation relief items (blanket, mattresses and mats )for IDPs and baby kits for children from 0-18 month",Danish Red Cross,Completed,01/04/2015,30/04/2016,,
,,Health,Psychosocial Support in Community Centres and PS Mobile Teams,Danish Red Cross,Ongoing,01/01/2015,31/12/2017,,
,,Health,Psychosocial Support in Community Centres and PS Mobile Teams and PS support for SARC volunteers,Danish Red Cross,Ongoing,01/11/2014,31/08/2016,,
,,Organisational Development,"Support for SARC HQ, running of 2 branches and 6 sub-
branches",Danish Red Cross,Ongoing,01/10/2015,30/09/2016,,
,,Health,"Running of 3 clinics in Shanaya, Jeirud, Latakia",Danish Red Cross,Ongoing,01/10/2015,30/09/2016,,
,,WASH/WATSAN,Provision of 24.000 Family Hygiene Kits,Danish Red Cross,Ongoing,01/10/2015,30/09/2016,,
,,Health,Rehabilitation of two PRCS hospitals ,Danish Red Cross,Ongoing,01/10/2015,30/09/2016,,
,,Organisational Development,Running of 12 SARC Subbranches,Danish Red Cross,Ongoing,01/01/2015,31/12/2017,,
,,Organisational Development,Running of SARC subbranch in Ariha,Danish Red Cross,Ongoing,01/04/2015,31/12/2016,,
,,Health,Running of SARC Emergency Health Post in Idleb,Danish Red Cross,Ongoing,01/04/2015,31/12/2016,,
,,WASH/WATSAN,Provision of 15.000 Family Hygiene Kits,Danish Red Cross,Ongoing,01/01/2015,31/12/2017,,
,,Shelter/Settlement/NFI,"NFIs, cash",Finnish Red Cross,Ongoing,01/05/2015,31/03/2016,,
,,WASH/WATSAN,Baby kits,German Red Cross,Ongoing,01/07/2015,31/12/2016,,
,,WASH/WATSAN,Hygiene kits for special needs,German Red Cross,Ongoing,01/07/2015,31/12/2016,,
,,Food Security/Nutrition/Livelihood,Food parcels,German Red Cross,Ongoing,01/07/2015,31/12/2016,,
,,Health,Baby Milk Formula,German Red Cross,Ongoing,01/07/2015,31/12/2016,,
,,Health,Baby Milk Formula,German Red Cross,Completed,10/12/2015,12/02/2016,,
,,Logistics,"Rent warehouses, running costs",German Red Cross,Ongoing,22/04/2015,31/08/2016,,
,,Health,Hygiene kits ,German Red Cross,Ongoing,22/04/2015,31/08/2016,,
,,Logistics,"Rent warehouses, running costs",German Red Cross,Ongoing,01/07/2015,31/12/2016,,
,,Logistics,"Rehabilitation, construction, warehouse equipment",German Red Cross,Ongoing,01/07/2015,31/12/2016,,
,,Logistics,Logistics staff support,German Red Cross,Ongoing,01/07/2015,31/12/2016,,
,,Logistics,"Contribution fuel, maintenance for SARC fleet",German Red Cross,Ongoing,01/07/2015,31/12/2016,,
,,Logistics,"Rent warehouses, running costs",German Red Cross,Completed,01/04/2015,30/04/2016,,
,,Logistics,Logistics staff support,German Red Cross,Completed,01/04/2015,30/04/2016,,
,,Logistics,Warehouse rehabilitation ,German Red Cross,Completed,01/04/2015,30/04/2016,,
,,Logistics,Warehouse equipment ,German Red Cross,Completed,01/04/2015,30/04/2016,,
,,Logistics,Fuel and maintenance of vehicles,German Red Cross,Completed,01/04/2015,30/04/2016,,
,,WASH/WATSAN,Baby kits,German Red Cross,Completed,01/04/2015,30/04/2016,,
,,Shelter/Settlement/NFI,400 Tents,Syrian Red Crescent,Completed,30/01/2016,01/03/2016,,
,,Health,Emergency Appeal,Japanese Red Cross,Ongoing,30/07/2012,30/06/2016,,
,,Health,Annual Appeal,Japanese Red Cross,Ongoing,30/01/2016,30/12/2016,,
,,Food Security/Nutrition/Livelihood,home gardenenig,Qatar Red Cross,Completed,01/06/2015,01/06/2016,,
,,Food Security/Nutrition/Livelihood,"the project provided farm inputs like seeds, fertilizers, pesticides and fuel for irrigationat for 2,340 ha the rate of $550 per hectare.",Qatar Red Cross,Completed,01/06/2015,01/06/2016,,
,,Shelter/Settlement/NFI,construction of mud houses,Qatar Red Cross,Ongoing,23/01/2016,23/11/2016,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,07/01/2014,Ongoing ,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,07/01/2014,Ongoing ,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,07/01/2014,Ongoing ,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,07/01/2014,Ongoing ,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,11/01/2012,Ongoing ,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,05/01/2014,Ongoing ,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,10/01/2015,Ongoing ,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,02/01/2014,Ongoing ,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,07/01/2015,Ongoing ,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,06/01/2015,31/6/2016,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,06/01/2015,31/6/2016,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,06/01/2015,31/12/2016,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,06/01/2015,31/12/2016,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,06/01/2015,31/12/2016,,
,,Health,Providing the people with the primary health care services and other specialized health services,Qatar Red Cross,Ongoing,06/01/2015,31/12/2016,,
,,Health,"provide IYCF practice counseling for Pregnant and lactating mothers and caregivers, malnutrition screening and active case detecting, referral according to CMAM program, reproductive health program and family planning.",Qatar Red Cross,Ongoing,09/01/2015,30/8/2016,,
,,Health,Giving help to the most vulnerable people who exposed to emergencies due to the contentious bombing and clashes,Qatar Red Cross,Ongoing,01/01/2015,Ongoing ,,
,,Health,independent monitoring of the polio supplementary immunization activities campaigns since October 2013 until now,Qatar Red Cross,Ongoing,10/01/2013,Ongoing ,,
,,Food Security/Nutrition/Livelihood,,Qatar Red Cross,Ongoing,14/11/2015,Ongoing ,,
,,Shelter/Settlement/NFI,,Qatar Red Cross,Ongoing,06/11/2015,Ongoing ,,
,,Shelter/Settlement/NFI,90 High quality Tents,Qatar Red Cross,Ongoing,08/10/2015,Ongoing ,,
,,WASH/WATSAN,,Qatar Red Cross,Completed,14/2/2016,31/03/2016,,
,,Food Security/Nutrition/Livelihood,,Qatar Red Cross,Ongoing,25/2/2016,Ongoing ,,
,,Shelter/Settlement/NFI,,Qatar Red Cross,Ongoing,03/03/2016,Ongoing ,,
,,Food Security/Nutrition/Livelihood,"110700 parcels, pledged to Federation Syria appeal",Norway Red Cross,Ongoing,16/01/2016,31/12/2016,,
,,Shelter/Settlement/NFI,"168,000 hygiene kits",Norway Red Cross,Ongoing,01/01/2016,31/12/2016,,
,,Shelter/Settlement/NFI,"118,000 baby kits",Norway Red Cross,Completed,01/04/2015,01/04/2016,,
,,WASH/WATSAN,"- Support SARC preparedness and response projects - e.g. water tanks, small generators, jerry cans and other water in emergency equipment",Norway Red Cross,Ongoing,01/01/2016,31/12/2016,,
,,WASH/WATSAN,"- Support SARC water projects to restore water services - e.g. a) replacing malfunctioning pumps, b)  restoring electricity by providing generators at pumping stations, c) provide consumables to ensure quality of water",Norway Red Cross,Ongoing,01/01/2016,31/12/2016,,
